"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2020","1,936.17","1,936.17","1,936.17","1,936.17","-","0.25%"
"Jun 02, 2020","1,931.29","1,931.29","1,931.29","1,931.29","-","-0.86%"
"May 29, 2020","1,948.08","1,948.08","1,948.08","1,948.08","-","-0.83%"
"May 28, 2020","1,964.46","1,964.46","1,964.46","1,964.46","-","-0.61%"
"May 27, 2020","1,976.50","1,976.50","1,976.50","1,976.50","-","-1.65%"
"May 26, 2020","2,009.60","2,009.60","2,009.60","2,009.60","-","-0.26%"
"May 22, 2020","2,014.88","2,014.88","2,014.88","2,014.88","-","0.54%"
"May 21, 2020","2,004.01","2,004.01","2,004.01","2,004.01","-","-0.26%"
"May 20, 2020","2,009.15","2,009.15","2,009.15","2,009.15","-","0.08%"
"May 19, 2020","2,007.49","2,007.49","2,007.49","2,007.49","-","0.68%"
"May 18, 2020","1,993.90","1,993.90","1,993.90","1,993.90","-","0.94%"
"May 15, 2020","1,975.30","1,975.30","1,975.30","1,975.30","-","0.27%"
"May 14, 2020","1,970.02","1,970.02","1,970.02","1,970.02","-","-1.32%"
"May 13, 2020","1,996.28","1,996.28","1,996.28","1,996.28","-","-2.09%"
"May 12, 2020","2,038.99","2,038.99","2,038.99","2,038.99","-","-0.73%"
"May 11, 2020","2,053.95","2,053.95","2,053.95","2,053.95","-","0.95%"
"May 08, 2020","2,034.71","2,034.71","2,034.71","2,034.71","-","-0.32%"
"May 07, 2020","2,041.22","2,041.22","2,041.22","2,041.22","-","-0.92%"
"May 06, 2020","2,060.11","2,060.11","2,060.11","2,060.11","-","1.91%"
"May 05, 2020","2,021.55","2,021.55","2,021.55","2,021.55","-","1.55%"
"May 04, 2020","1,990.64","1,990.64","1,990.64","1,990.64","-","1.66%"
"Apr 30, 2020","1,958.07","1,958.07","1,958.07","1,958.07","-","-0.46%"
"Apr 29, 2020","1,967.19","1,967.19","1,967.19","1,967.19","-","1.00%"
"Apr 28, 2020","1,947.70","1,947.70","1,947.70","1,947.70","-","-0.52%"
"Apr 27, 2020","1,957.86","1,957.86","1,957.86","1,957.86","-","-0.51%"
"Apr 24, 2020","1,967.84","1,967.84","1,967.84","1,967.84","-","-0.15%"
"Apr 23, 2020","1,970.79","1,970.79","1,970.79","1,970.79","-","-0.75%"
"Apr 22, 2020","1,985.76","1,985.76","1,985.76","1,985.76","-","-0.46%"
