"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2020","26,279.61","26,426.20","26,455.26","26,273.58","361.08M","-0.55%"
"Mar 05, 2020","26,426.20","26,418.82","26,626.07","26,408.25","431.90M","0.04%"
"Mar 04, 2020","26,415.54","26,283.35","26,438.78","26,256.24","307.66M","0.61%"
"Mar 03, 2020","26,255.11","25,816.57","26,344.55","25,816.57","387.42M","1.70%"
"Mar 02, 2020","25,816.57","26,143.02","26,170.58","25,816.57","325.26M","-1.53%"
"Feb 28, 2020","26,216.46","26,808.24","26,808.24","26,216.46","416.28M","-2.21%"
"Feb 27, 2020","26,808.24","26,974.38","26,977.40","26,796.43","231.52M","-0.62%"
"Feb 26, 2020","26,974.38","27,033.10","27,033.90","26,870.39","228.36M","-0.22%"
"Feb 25, 2020","27,033.10","27,041.03","27,105.46","27,031.71","241.71M","-0.03%"
"Feb 24, 2020","27,041.03","27,388.62","27,515.79","27,000.85","428.96M","-1.27%"
"Feb 21, 2020","27,388.62","27,568.91","27,614.65","27,236.53","421.22M","-0.65%"
"Feb 20, 2020","27,568.91","27,523.26","27,622.42","27,292.61","484.99M","0.17%"
"Feb 19, 2020","27,523.08","27,547.56","27,556.13","27,512.72","290.13M","-0.09%"
"Feb 18, 2020","27,547.56","27,570.94","27,570.94","27,527.51","168.07M","-0.08%"
"Feb 17, 2020","27,570.94","27,756.56","27,818.09","27,507.99","134.61M","-0.67%"
