"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 28, 2020","127.73","127.75","127.83","127.73","-","-0.02%"
"Jul 27, 2020","127.75","128.47","128.47","127.75","-","-0.56%"
"Jul 24, 2020","128.47","128.30","128.54","128.30","-","0.13%"
"Jul 23, 2020","128.30","128.57","128.59","128.30","-","-0.21%"
"Jul 22, 2020","128.57","129.41","129.41","128.57","-","-0.65%"
"Jul 21, 2020","129.41","129.72","129.72","129.41","-","-0.24%"
"Jul 20, 2020","129.72","130.64","130.64","129.72","-","-0.70%"
"Jul 17, 2020","130.64","129.78","130.65","129.78","-","0.66%"
"Jul 16, 2020","129.78","130.33","130.33","129.78","-","-0.42%"
"Jul 15, 2020","130.33","131.22","131.22","130.33","-","-0.68%"
"Jul 14, 2020","131.22","131.37","131.43","131.22","-","-0.11%"
"Jul 13, 2020","131.37","131.33","131.52","131.33","-","0.03%"
"Jul 10, 2020","131.33","131.68","131.74","131.33","-","-0.27%"
"Jul 09, 2020","131.68","132.09","132.68","131.68","-","-0.31%"
"Jul 08, 2020","132.09","133.20","133.64","132.09","-","-0.83%"
"Jul 07, 2020","133.20","134.05","134.22","133.20","-","-0.63%"
"Jul 06, 2020","134.05","134.81","134.81","134.05","-","-0.56%"
"Jul 03, 2020","134.81","135.00","135.87","134.81","-","-0.14%"
"Jul 02, 2020","135.00","135.81","135.81","135.00","-","-0.60%"
"Jul 01, 2020","135.81","135.86","136.15","135.81","-","-0.04%"
"Jun 30, 2020","135.86","135.28","135.89","135.28","-","0.43%"
"Jun 29, 2020","135.28","134.88","135.28","134.88","-","0.30%"
"Jun 26, 2020","134.88","134.36","135.07","134.36","-","0.39%"
"Jun 25, 2020","134.36","135.32","135.37","134.36","-","-0.71%"
"Jun 24, 2020","135.32","135.59","135.59","135.32","-","-0.20%"
"Jun 23, 2020","135.59","135.85","135.95","135.59","-","-0.19%"
"Jun 22, 2020","135.85","135.77","135.92","135.77","-","0.06%"
"Jun 19, 2020","135.77","135.23","135.77","135.23","-","0.40%"
"Jun 18, 2020","135.23","135.14","135.34","135.14","-","0.07%"
"Jun 17, 2020","135.14","135.75","135.98","135.14","-","-0.45%"
"Jun 16, 2020","135.75","135.87","135.91","135.75","-","-0.09%"
"Jun 15, 2020","135.87","137.76","137.76","135.87","-","-1.37%"
"Jun 12, 2020","137.76","137.08","138.76","137.08","-","0.50%"
"Jun 11, 2020","137.08","138.64","139.01","137.08","-","-1.13%"
"Jun 10, 2020","138.64","138.72","138.87","138.64","-","-0.06%"
"Jun 09, 2020","138.72","138.73","138.73","138.72","-","-0.01%"
"Jun 08, 2020","138.73","138.83","138.83","138.73","-","-0.07%"
"Jun 05, 2020","138.83","138.20","138.88","138.20","-","0.46%"
"Jun 04, 2020","138.20","136.09","138.20","136.09","-","1.55%"
"Jun 03, 2020","136.09","136.70","137.36","136.09","-","-0.45%"
"Jun 02, 2020","136.70","135.03","137.08","135.03","-","1.24%"
"May 29, 2020","135.03","134.21","135.06","134.21","-","0.61%"
"May 28, 2020","134.21","134.19","134.70","134.19","-","0.01%"
"May 27, 2020","134.19","132.12","134.40","132.12","-","1.57%"
"May 26, 2020","132.12","132.40","132.40","132.12","-","-0.21%"
"May 25, 2020","132.40","132.40","132.40","132.40","-","-0.17%"
"May 22, 2020","132.63","131.35","132.81","131.35","-","0.97%"
"May 19, 2020","131.35","131.24","131.57","131.35","-","0.08%"
"May 18, 2020","131.24","137.15","137.15","131.24","-","-4.31%"
"May 15, 2020","137.15","136.95","137.78","136.95","-","0.15%"
"May 14, 2020","136.95","137.49","137.61","136.95","-","-0.39%"
"May 13, 2020","137.49","136.90","137.49","137.49","-","0.43%"
"May 12, 2020","136.90","136.88","137.51","136.88","-","0.01%"
"May 11, 2020","136.88","137.78","138.00","136.88","-","-0.65%"
"May 08, 2020","137.78","137.25","137.93","137.25","-","0.39%"
"May 07, 2020","137.25","137.50","137.67","137.25","-","-0.18%"
"May 06, 2020","137.50","137.41","137.67","137.41","-","0.07%"
"May 05, 2020","137.41","136.78","137.71","137.41","-","0.46%"
"May 04, 2020","136.78","136.84","138.05","136.78","-","-0.04%"
"Apr 30, 2020","136.84","136.69","137.03","130.67","-","0.11%"
"Apr 29, 2020","136.69","138.52","138.56","136.69","-","-1.32%"
"Apr 28, 2020","138.52","138.42","139.06","138.42","-","0.07%"
"Apr 27, 2020","138.42","138.25","138.43","138.25","-","0.12%"
"Apr 24, 2020","138.25","137.54","138.52","137.54","-","0.52%"
"Apr 23, 2020","137.54","134.21","137.58","134.21","-","2.48%"
"Apr 22, 2020","134.21","134.26","137.71","134.21","-","-0.04%"
"Apr 21, 2020","134.26","133.48","134.27","133.48","-","0.58%"
"Apr 20, 2020","133.48","133.45","133.67","133.45","-","0.02%"
"Apr 17, 2020","133.45","133.22","133.77","133.22","-","0.17%"
"Apr 16, 2020","133.22","133.67","133.67","133.22","-","-0.34%"
"Apr 15, 2020","133.67","133.76","134.65","133.67","-","-0.07%"
"Apr 14, 2020","133.76","133.46","135.03","133.46","-","0.22%"
"Apr 10, 2020","133.46","133.23","133.46","133.23","-","0.17%"
"Apr 09, 2020","133.23","132.89","133.29","133.23","-","0.26%"
"Apr 08, 2020","132.89","133.07","133.15","132.89","-","-0.14%"
"Apr 07, 2020","133.07","133.18","133.20","133.07","-","-0.08%"
"Apr 06, 2020","133.18","133.55","133.55","133.18","-","-0.28%"
"Apr 03, 2020","133.55","134.04","134.14","133.55","-","-0.37%"
"Apr 02, 2020","134.04","134.27","134.37","134.04","-","-0.17%"
"Apr 01, 2020","134.27","134.09","134.60","134.27","-","0.13%"
"Mar 31, 2020","134.09","134.65","134.65","134.09","-","-0.42%"
"Mar 30, 2020","134.65","135.24","135.40","134.65","-","-0.44%"
"Mar 27, 2020","135.24","136.16","136.16","135.24","-","-0.68%"
"Mar 26, 2020","136.16","137.16","137.16","136.16","-","-0.73%"
"Mar 25, 2020","137.16","137.93","137.94","137.16","-","-0.56%"
"Mar 24, 2020","137.93","138.27","138.28","137.93","-","-0.25%"
"Mar 23, 2020","138.27","140.11","140.32","138.27","-","-1.31%"
"Mar 20, 2020","140.11","140.03","141.49","140.03","-","0.06%"
"Mar 19, 2020","140.03","142.73","142.73","140.03","-","-1.89%"
"Mar 18, 2020","142.73","143.17","143.17","142.73","-","-0.31%"
"Mar 17, 2020","143.17","143.95","143.98","143.17","-","-0.54%"
"Mar 16, 2020","143.95","145.05","145.05","143.95","-","-0.76%"
"Mar 13, 2020","145.05","145.05","145.05","145.05","-","0.00%"
"Mar 12, 2020","145.05","145.54","145.68","145.05","-","-0.34%"
"Mar 11, 2020","145.54","146.37","146.37","145.54","-","-0.57%"
"Mar 10, 2020","146.37","145.73","146.37","146.37","-","0.44%"
"Mar 09, 2020","145.73","146.46","146.54","145.73","-","-0.50%"
"Mar 06, 2020","146.46","145.86","146.70","145.86","-","0.41%"
"Mar 05, 2020","145.86","146.78","146.81","145.86","-","-0.63%"
"Mar 04, 2020","146.78","147.12","147.88","146.78","-","-0.23%"
"Mar 03, 2020","147.12","148.61","148.64","147.12","-","-1.00%"
"Mar 02, 2020","148.61","146.01","148.61","146.01","-","1.78%"
"Feb 28, 2020","146.01","144.95","146.01","144.95","-","0.73%"
"Feb 27, 2020","144.95","143.82","145.40","144.95","-","0.79%"
"Feb 26, 2020","143.82","143.31","143.82","143.31","-","0.36%"
"Feb 25, 2020","143.31","144.14","144.28","143.31","-","-0.58%"
"Feb 24, 2020","144.14","144.39","144.39","144.14","-","-0.17%"
"Feb 21, 2020","144.39","144.11","144.39","144.11","-","0.19%"
"Feb 20, 2020","144.11","144.56","145.00","144.11","-","-0.31%"
"Feb 19, 2020","144.56","145.63","145.63","144.56","-","-0.73%"
"Feb 18, 2020","145.63","146.11","146.11","145.63","-","-0.33%"
"Feb 17, 2020","146.11","144.71","146.35","146.11","-","0.97%"
